IBI	days_since_instruction	weekly_in_lab_sessions_completed	session_start_time
746	0	2	23:48:00
725	0	2	23:48:00
719	0	2	23:48:00
762	0	2	23:48:00
722	0	2	23:48:00
714	0	2	23:48:00
700	0	2	23:48:00
762	0	2	23:48:00
735	0	2	23:48:00
722	0	2	23:48:00
714	0	2	23:48:00
765	0	2	23:48:00
738	0	2	23:48:00
738	0	2	23:48:00
741	0	2	23:48:00
727	0	2	23:48:00
725	0	2	23:48:00
725	0	2	23:48:00
752	0	2	23:48:00
706	0	2	23:48:00
714	0	2	23:48:00
706	0	2	23:48:00
717	0	2	23:48:00
703	0	2	23:48:00
708	0	2	23:48:00
703	0	2	23:48:00
746	0	2	23:48:00
738	0	2	23:48:00
714	0	2	23:48:00
754	0	2	23:48:00
743	0	2	23:48:00
722	0	2	23:48:00
746	0	2	23:48:00
735	0	2	23:48:00
711	0	2	23:48:00
698	0	2	23:48:00
757	0	2	23:48:00
717	0	2	23:48:00
706	0	2	23:48:00
730	0	2	23:48:00
781	0	2	23:48:00
717	0	2	23:48:00
725	0	2	23:48:00
770	0	2	23:48:00
727	0	2	23:48:00
738	0	2	23:48:00
684	0	2	23:48:00
725	0	2	23:48:00
727	0	2	23:48:00
719	0	2	23:48:00
730	0	2	23:48:00
730	0	2	23:48:00
692	0	2	23:48:00
708	0	2	23:48:00
733	0	2	23:48:00
711	0	2	23:48:00
717	0	2	23:48:00
727	0	2	23:48:00
730	0	2	23:48:00
722	0	2	23:48:00
749	0	2	23:48:00
762	0	2	23:48:00
727	0	2	23:48:00
711	0	2	23:48:00
727	0	2	23:48:00
722	0	2	23:48:00
717	0	2	23:48:00
730	0	2	23:48:00
727	0	2	23:48:00
779	0	2	23:48:00
690	0	2	23:48:00
795	0	2	23:48:00
717	0	2	23:48:00
714	0	2	23:48:00
711	0	2	23:48:00
714	0	2	23:48:00
717	0	2	23:48:00
754	0	2	23:48:00
708	0	2	23:48:00
725	0	2	23:48:00
717	0	2	23:48:00
711	0	2	23:48:00
741	0	2	23:48:00
722	0	2	23:48:00
727	0	2	23:48:00
665	0	2	23:48:00
754	0	2	23:48:00
754	0	2	23:48:00
706	0	2	23:48:00
687	0	2	23:48:00
714	0	2	23:48:00
792	0	2	23:48:00
714	0	2	23:48:00
706	0	2	23:48:00
754	0	2	23:48:00
749	0	2	23:48:00
730	0	2	23:48:00
743	0	2	23:48:00
749	0	2	23:48:00
660	0	2	23:48:00
781	0	2	23:48:00
803	0	2	23:48:00
692	0	2	23:48:00
660	0	2	23:48:00
760	0	2	23:48:00
1083	0	2	23:48:00
250	0	2	23:48:00
873	0	2	23:48:00
789	0	2	23:48:00
754	0	2	23:48:00
870	0	2	23:48:00
867	0	2	23:48:00
606	0	2	23:48:00
1078	0	2	23:48:00
407	0	2	23:48:00
862	0	2	23:48:00
1487	0	2	23:48:00
695	0	2	23:48:00
1177	0	2	23:48:00
215	0	2	23:48:00
792	0	2	23:48:00
743	0	2	23:48:00
781	0	2	23:48:00
730	0	2	23:48:00
789	0	2	23:48:00
765	0	2	23:48:00
741	0	2	23:48:00
762	0	2	23:48:00
789	0	2	23:48:00
754	0	2	23:48:00
770	0	2	23:48:00
